"","zcta","total population","Death Count","non-Hisp White","non-Hisp Black","Hisp or Latino","Poverty","Edu1","male1","male2","male3","male4","male5","male6","male7","male8","female1","female2","female3","female4","female5","female6","female7","female8"
"994",94158,4792,9.33333333333334,2101,169,349,390,170,71,64,721,1140,387,148,69,23,81,68,722,864,232,118,62,22
"995",94301,16995,125.666666666667,12341,323,857,1015,162,448,1019,1475,1725,1896,927,540,413,414,993,1177,1712,1859,1015,650,732
"996",94303,45467,215,11234,4694,19007,5546,5849,1819,3924,5127,4858,4082,1503,794,522,1767,3754,4787,4910,4159,1648,1029,784
"997",94304,3627,35.3333333333333,2259,65,174,138,23,134,132,242,541,245,115,99,237,109,137,264,518,220,116,145,373
"998",94305,13862,15,6975,621,1445,1237,82,212,168,5768,650,292,181,140,101,197,194,4742,517,303,195,134,68
"999",94306,26469,152,14935,513,2075,1339,659,741,1858,2281,2578,3113,1160,693,509,688,1776,2031,2801,3154,1361,897,828
"1000",94401,34429,218.333333333333,11270,1112,14042,2485,4963,1237,1930,3940,4545,3222,1147,640,593,1172,1760,3289,4198,3208,1390,902,1256
"1001",94402,23981,183.333333333333,14587,261,3513,1283,861,818,1492,1703,2545,2696,1202,676,506,774,1420,1632,2630,2846,1373,857,811
"1002",94403,39642,286.333333333333,20067,721,8226,1931,2060,1363,2236,3434,4681,4122,1664,929,713,1272,2039,3359,4795,4392,2034,1249,1360
"1003",94404,33749,157.666666666667,14550,602,2335,1376,924,1126,2112,2388,4330,3324,1634,923,397,1154,1970,2391,4487,3724,2069,1121,599
"1004",94501,60212,452.333333333333,27809,4124,7175,6761,3977,1781,3337,5696,6556,6474,2802,1281,887,1712,3208,5337,7335,7187,3240,1711,1668
"1005",94502,13600,87.6666666666667,5659,392,917,572,601,359,953,977,1082,1708,775,408,239,330,909,912,1309,1978,811,458,392
"1006",94503,19681,101,5632,1497,5095,1086,1613,714,1637,2018,1979,2038,741,343,171,653,1531,1909,2199,2204,755,471,318
"1007",94505,13403,51.9999999999999,9675,528,2105,822,409,465,1069,975,1460,1549,788,320,109,413,1066,1015,1553,1469,765,274,113
"1008",94506,22452,90.9999999999999,15209,350,1335,551,286,578,1962,1526,1680,3243,1271,459,177,567,1965,1465,2134,3444,1207,396,378
"1009",94507,14889,94.3333333333334,12337,75,856,705,183,317,1241,973,790,2075,1147,574,269,281,1149,851,1021,2237,1118,504,342
"1010",94508,3661,17,2318,142,689,229,165,66,156,756,255,313,184,78,39,62,142,730,244,339,166,72,59
"1011",94509,62439,446.333333333334,24887,8347,22316,10486,6859,2325,4651,7195,5941,6163,2418,1191,571,2369,4441,7024,6282,6620,2751,1463,1034
"1012",94510,27088,175,17899,1428,3252,1517,1130,654,1939,2319,2184,3426,1562,676,276,639,1740,2263,2628,3851,1725,738,468
"1013",94511,2137,28.3333333333333,1709,37,280,310,333,36,66,134,138,365,203,149,52,38,67,116,123,296,176,115,63
"1014",94512,108,2.33333333333333,73,2,25,0,43,3,4,10,7,18,13,5,0,1,5,10,10,10,7,2,3
