"","ZIP","AGE.SEX","Death"
"365",90024,13,5
"366",90024,14,8
"367",90024,15,17.3333333333333
"368",90024,16,99.3333333333333
"369",90025,1,1.33333333333333
"370",90025,2,0
"371",90025,3,3.66666666666667
"372",90025,4,3
"373",90025,5,16.3333333333333
"374",90025,6,14
"375",90025,7,18.3333333333333
"376",90025,8,51.3333333333333
"377",90025,9,1.33333333333333
"378",90025,10,0
"379",90025,11,0
"380",90025,12,4.33333333333333
"381",90025,13,9
"382",90025,14,10
"383",90025,15,14.3333333333333
"384",90025,16,73.6666666666667
"385",90026,1,2.66666666666667
"386",90026,2,1.33333333333333
"387",90026,3,7.33333333333333
"388",90026,4,12.6666666666667
"389",90026,5,30
"390",90026,6,28
"391",90026,7,30
"392",90026,8,55.3333333333333
"393",90026,9,0.333333333333333
"394",90026,10,0.666666666666667
"395",90026,11,3.33333333333333
"396",90026,12,5.33333333333333
"397",90026,13,10.6666666666667
"398",90026,14,19.6666666666667
"399",90026,15,26.6666666666667
"400",90026,16,78.6666666666667
"401",90027,1,1.33333333333333
"402",90027,2,0
"403",90027,3,3.33333333333333
"404",90027,4,7.33333333333333
"405",90027,5,22
"406",90027,6,25.6666666666667
"407",90027,7,44
"408",90027,8,67.6666666666667
"409",90027,9,1.33333333333333
"410",90027,10,0
"411",90027,11,1
"412",90027,12,3
"413",90027,13,17
"414",90027,14,13
"415",90027,15,29.3333333333333
"416",90027,16,101.333333333333
"417",90028,1,0.666666666666667
"418",90028,2,0
"419",90028,3,3.66666666666667
"420",90028,4,7
"421",90028,5,18
"422",90028,6,17.3333333333333
"423",90028,7,21
"424",90028,8,34
"425",90028,9,0
"426",90028,10,0
"427",90028,11,0.666666666666667
"428",90028,12,1.66666666666667
"429",90028,13,8.66666666666667
"430",90028,14,7.33333333333333
"431",90028,15,15.3333333333333
"432",90028,16,35.6666666666667
"433",90029,1,2.66666666666667
"434",90029,2,1
"435",90029,3,5
"436",90029,4,11.3333333333333
"437",90029,5,25.3333333333333
"438",90029,6,24.6666666666667
"439",90029,7,25
"440",90029,8,38.3333333333333
"441",90029,9,1.33333333333333
"442",90029,10,1
"443",90029,11,0.666666666666667
"444",90029,12,5.33333333333333
"445",90029,13,8.66666666666667
"446",90029,14,13.6666666666667
"447",90029,15,17.6666666666667
"448",90029,16,57
"449",90031,1,3.33333333333333
"450",90031,2,0.333333333333333
"451",90031,3,3.33333333333333
"452",90031,4,7.33333333333333
"453",90031,5,19.3333333333333
"454",90031,6,17
"455",90031,7,17.6666666666667
"456",90031,8,53.3333333333333
"457",90031,9,1.66666666666667
"458",90031,10,0.333333333333333
"459",90031,11,1.33333333333333
"460",90031,12,3
"461",90031,13,9.33333333333333
"462",90031,14,8
"463",90031,15,19
"464",90031,16,69.6666666666667
"465",90032,1,1
"466",90032,2,0
"467",90032,3,5
"468",90032,4,11
"469",90032,5,23.6666666666667
"470",90032,6,19.6666666666667
"471",90032,7,22.6666666666667
"472",90032,8,46.6666666666667
"473",90032,9,2
"474",90032,10,0.666666666666667
"475",90032,11,2
"476",90032,12,4
"477",90032,13,15.6666666666667
"478",90032,14,14.3333333333333
"479",90032,15,22
"480",90032,16,62
"481",90033,1,4.33333333333333
"482",90033,2,0.333333333333333
"483",90033,3,8.33333333333333
"484",90033,4,13
"485",90033,5,25.3333333333333
"486",90033,6,21.6666666666667
"487",90033,7,26
"488",90033,8,40.6666666666667
"489",90033,9,2.66666666666667
"490",90033,10,0.333333333333333
"491",90033,11,2.66666666666667
"492",90033,12,3.66666666666667
"493",90033,13,10.6666666666667
"494",90033,14,13.6666666666667
"495",90033,15,23.3333333333333
"496",90033,16,65.6666666666667
"497",90034,1,2
"498",90034,2,0
"499",90034,3,4
"500",90034,4,9.33333333333333
"501",90034,5,23
"502",90034,6,18.6666666666667
"503",90034,7,23.6666666666667
"504",90034,8,33.6666666666667
"505",90034,9,1.33333333333333
"506",90034,10,0
"507",90034,11,2.66666666666667
"508",90034,12,3.33333333333333
"509",90034,13,13.6666666666667
"510",90034,14,13
"511",90034,15,15.6666666666667
"512",90034,16,71.6666666666667
"513",90035,1,1
"514",90035,2,0
"515",90035,3,1
