,zcta
1120,94920
1121,94922
1122,94923
1123,94924
1124,94925
1125,94928
1126,94929
1127,94930
1128,94931
1129,94933
1130,94937
1131,94938
1132,94939
1133,94940
1134,94941
1135,94945
1136,94946
1137,94947
1138,94949
1139,94950
1140,94951
1141,94952
1142,94954
1143,94956
1144,94957
1145,94960
1146,94963
1147,94964
1148,94965
1149,94970
1150,94971
1151,94972
1152,94973
1153,95002
1154,95003
1155,95004
1156,95005
1157,95006
1158,95007
1159,95008
1160,95010
1161,95012
1162,95013
1163,95014
1164,95017
1165,95018
1166,95019
1167,95020
1168,95023
1169,95030
1170,95032
1171,95033
1172,95035
1173,95037
1174,95039
1175,95041
1176,95043
1177,95045
1178,95046
1179,95050
1180,95051
1181,95053
1182,95054
1183,95060
1184,95062
1185,95064
1186,95065
1187,95066
1188,95070
1189,95073
1190,95075
1191,95076
1192,95110
1193,95111
1194,95112
1195,95113
1196,95116
1197,95117
1198,95118
1199,95119
1200,95120
1201,95121
1202,95122
1203,95123
1204,95124
1205,95125
1206,95126
1207,95127
1208,95128
1209,95129
1210,95130
1211,95131
1212,95132
1213,95133
1214,95134
1215,95135
1216,95136
1217,95138
1218,95139
1219,95140
1220,95148
1221,95202
1222,95203
1223,95204
1224,95205
1225,95206
1226,95207
1227,95209
1228,95210
1229,95211
1230,95212
1231,95215
1232,95219
1233,95220
1234,95222
1235,95223
1236,95224
1237,95225
1238,95226
1239,95227
1240,95228
1241,95230
1242,95231
1243,95232
1244,95233
1245,95234
1246,95236
1247,95237
1248,95240
1249,95242
1250,95245
1251,95246
1252,95247
1253,95248
1254,95249
1255,95250
1256,95251
1257,95252
1258,95254
1259,95255
1260,95257
1261,95258
1262,95301
1263,95303
1264,95304
1265,95305
1266,95306
1267,95307
1268,95310
1269,95311
1270,95312
1271,95313
1272,95314
1273,95315
1274,95316
1275,95317
1276,95318
1277,95319
1278,95320
1279,95321
1280,95322
1281,95323
1282,95324
1283,95325
1284,95326
1285,95327
1286,95328
1287,95329
1288,95330
1289,95333
1290,95334
1291,95335
1292,95336
1293,95337
1294,95338
1295,95340
1296,95341
1297,95345
1298,95346
1299,95348
1300,95350
1301,95351
1302,95354
1303,95355
1304,95356
1305,95357
1306,95358
1307,95360
1308,95361
1309,95363
1310,95364
1311,95365
1312,95366
1313,95367
1314,95368
1315,95369
1316,95370
1317,95372
1318,95374
1319,95375
1320,95376
1321,95377
1322,95379
1323,95380
1324,95382
1325,95383
1326,95385
1327,95386
1328,95387
1329,95388
1330,95389
1331,95391
1332,95401
1333,95403
1334,95404
1335,95405
1336,95407
1337,95409
1338,95410
1339,95412
1340,95415
1341,95417
1342,95420
1343,95421
1344,95422
1345,95423
1346,95425
1347,95426
1348,95427
1349,95428
1350,95429
1351,95430
1352,95431
1353,95432
1354,95435
1355,95436
1356,95437
1357,95439
1358,95441
1359,95442
1360,95443
1361,95444
1362,95445
1363,95446
1364,95448
1365,95449
1366,95450
1367,95451
1368,95452
1369,95453
1370,95454
1371,95456
1372,95457
1373,95458
1374,95459
1375,95460
1376,95461
1377,95462
1378,95463
1379,95464
1380,95465
1381,95466
1382,95467
1383,95468
1384,95469
1385,95470
1386,95471
1387,95472
1388,95476
1389,95482
1390,95485
1391,95486
1392,95488
1393,95490
1394,95492
1395,95493
1396,95494
1397,95497
1398,95501
1399,95503
1400,95511
1401,95514
1402,95519
1403,95521
1404,95524
1405,95525
1406,95526
1407,95527
1408,95528
1409,95531
1410,95536
1411,95537
1412,95540
1413,95542
1414,95543
1415,95545
1416,95546
1417,95547
1418,95548
1419,95549
1420,95550
1421,95551
1422,95552
1423,95553
1424,95554
1425,95555
1426,95556
1427,95558
1428,95559
1429,95560
1430,95562
1431,95563
1432,95564
1433,95565
1434,95567
1435,95568
1436,95569
1437,95570
1438,95571
1439,95573
1440,95585
1441,95587
1442,95589
1443,95595
1444,95601
1445,95602
1446,95603
1447,95604
1448,95605
1449,95606
1450,95607
1451,95608
1452,95610
1453,95612
1454,95614
1455,95615
1456,95616
1457,95618
1458,95619
1459,95620
1460,95621
1461,95623
1462,95624
1463,95625
1464,95626
