"","GEOID","Pop2010","AnnualDeathPerCap","BothShareUnder30","BothShare30To60","BothShareOver50","BothShareOver60","BothShareOver70","BothShareOver80","WhiteShare","BlackShare","HispanicShare","Edu1Share","Edu1to2Share","PovertyShare","Poverty2Share","Income_Less20KShare","Income_Less30KShare","Income_Less40KShare","Income_Less50KShare","Income_Less60KShare","Income_Less75KShare","Income_Less100KShare","UnemployedShare"
"479","92325",9391,0.00706350051467718,0.355340219358961,0.446278351613247,0.390693216909807,0.198381429027793,0.0662336279416463,0.0150143754658716,0.769140666595677,0.00926418911723991,0.167926738366521,0.102091254752852,0.403992395437262,0.181925343811395,0.392927308447937,0.209776626740045,0.263191971511816,0.396568468760117,0.48203302039495,0.603431531239883,0.730333441243121,0.844933635480738,0.0603006773500743
"480","92327",632,0.0137130801687764,0.332278481012658,0.449367088607595,0.424050632911392,0.218354430379747,0.112341772151899,0.0537974683544304,0.664556962025316,0.0110759493670886,0.213607594936709,0.0446304044630404,0.564853556485356,0.309649122807018,0.812280701754386,0.3,0.423529411764706,0.805882352941176,0.805882352941176,0.805882352941176,0.841176470588235,1,0.174300254452926
"481","92328",445,0.00224719101123595,0.285393258426966,0.489887640449438,0.460674157303371,0.224719101123595,0.0292134831460674,0.00674157303370787,0.808988764044944,0.0157303370786517,0.107865168539326,0.0403587443946188,0.251121076233184,0.0763052208835341,0.216867469879518,0.0978260869565217,0.222826086956522,0.33695652173913,0.603260869565217,0.733695652173913,0.826086956521739,0.880434782608696,0.016597510373444
"482","92332",65,0.0102564102564102,0.292307692307692,0.446153846153846,0.507692307692308,0.261538461538462,0.0615384615384615,0.0307692307692308,0.6,0.0307692307692308,0.292307692307692,1,1,0,0.5,0,0.5,1,1,1,1,1,0
"483","92333",472,0.0105932203389831,0.211864406779661,0.394067796610169,0.608050847457627,0.394067796610169,0.177966101694915,0.0402542372881356,0.900423728813559,0,0.0720338983050847,0.0129449838187702,0.325242718446602,0.0497737556561086,0.435897435897436,0.101851851851852,0.33641975308642,0.62037037037037,0.651234567901235,0.688271604938272,0.725308641975309,0.75,0.205501618122977
"484","92335",95397,0.00424541652253216,0.548665052360137,0.361311152342317,0.184439762256675,0.090023795297546,0.0412067465433923,0.0146545488851851,0.113871505393251,0.041657494470476,0.816943929054373,0.43118736655831,0.707341937717594,0.212510322047894,0.572089182493807,0.170118278151519,0.29996042738425,0.440267335004177,0.553137229037506,0.655454425537528,0.775623268698061,0.891834850283604,0.0965214434605207
"485","92336",88419,0.00294054445311528,0.498049061853222,0.416460263065631,0.19570454314118,0.0854906750811477,0.031090602698515,0.00990737284972687,0.19206279193386,0.12472432395752,0.552313416799557,0.181702110681084,0.422634959901049,0.0947534615340929,0.271970376764843,0.0670962319652612,0.117896997712098,0.193584535649251,0.252136153522902,0.323434654713545,0.438296680207312,0.628706167997385,0.0944508179975169
"486","92337",37849,0.00249235999189763,0.518269967502444,0.405241882216175,0.177389098787286,0.0764881502813813,0.0299347406800708,0.008375386403868,0.1155380591297,0.0988137070992629,0.702211419059949,0.298233595928952,0.553652688750795,0.0950608930987821,0.306608028867839,0.0632680928538917,0.115498406918525,0.209945380063723,0.326126536185708,0.401911697769686,0.548361401911698,0.753299954483386,0.092649077321946
"487","92338",12,0.0833333333333332,0.333333333333333,0.416666666666667,0.5,0.25,0,0,0.833333333333333,0,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","92339",885,0.00640301318267419,0.317514124293785,0.488135593220339,0.409039548022599,0.194350282485876,0.0474576271186441,0.00903954802259887,0.803389830508475,0.00564971751412429,0.12090395480226,0.00789889415481832,0.0995260663507109,0.055359246171967,0.12603062426384,0.121212121212121,0.161616161616162,0.252525252525253,0.297979797979798,0.310606060606061,0.487373737373737,0.765151515151515,0.0373563218390805
"489","92341",410,0.00569105691056911,0.275609756097561,0.45609756097561,0.475609756097561,0.268292682926829,0.0731707317073171,0.0121951219512195,0.848780487804878,0,0.121951219512195,0.0892857142857143,0.202380952380952,0,0.244635193133047,0.431818181818182,0.545454545454545,0.545454545454545,0.689393939393939,0.787878787878788,0.893939393939394,0.893939393939394,0.196891191709845
